Field_1|Field_2|Field3|Topic|Family|pk|DOC|Author|Availability|AvailableDate|Binding|Cover|CrossReference|Description|ExtraDescription|Format|ISBN|ISSN|KeyPhrases|ListID|Note|Price|PriceNonUS|Publisher|QuantityPrice|StandingOrderCode|StatusDate|StockNumber|Subject Bibliography|SuDocsClass|Title|Unit|UnitNonUS|Weight|YearPages|Hyperlink
||||||govtprintingoffice||0. out of print GPO|07-29-97|paper cover / stitch|paper||Training Guides for the Head Start Learning Community. Issued in looseleaf form. Purpose is to facilitate the successful transition of children and their families into and out of Early Head Start and Head Start programs. Builds on the concept that success||looseleaf|0-16-042716-9||Training Guides for the Head Start Learning Community, Head Start, Preschool Education, Children, Education, Early Head Start||NB1261|20.00||Health and Human Services Dept., Administration for Children and Families, Administration on Children, Youth, and Families, Head Start Bureau|discount||7/30/1997|017-092-00119-3|035MB 137MS 196PJ|HE 23.1108:L 47/23|Planning for Transitions|each||1.12|1997: 174 p.; ill. looseleaf.|
||||||govtprintingoffice||0. superseded|04-03-01|perfect binding|paper|041-001-00579-0|2001 National Trade Estimate Report on Foreign Trade Barriers. 16th in an annual series. Surveys significant foreign barriers to United States exports. Provides quantitative estimates of the impact of foreign practices on the value of United States export|||0-16-050763-4||||Supersedes S/N 041-001-00545-5. Superseded by S/N 041-001-00579-0. NB1283|46.00||Executive Office of the President, Office of the United States Trade Representative|discount||4/16/2003|041-001-00564-1|118LA 123KO 317GB|PREX 9.10:2001|National Trade Estimate Report on Foreign Trade Barriers, 2001|each||3.06|2001: 485 p.|
||||||govtprintingoffice||0. see special note||specialty item|||Provides users with a variety of information pertaining to the online data bases available through GPO Access and how to use them. General user assistance: Internet e-mail to gpoaccess@ gpo.gov; fax 202-512-1262; phone 202-512-1530; or World Wide Web http||multimedia|||Electronic Products, GPO Access Data Base, Online Data Base Through GPO Access||Internet users should telnet swais.access.gpo. gov and login as guest (all lower case). Dial in users should use communications software and modem to|0.00||Government Printing Office, Office of Electronic Information Dissemination Services|||09-01-95|021-610-00216-2|900||User Guide for Online Data Bases Through GPO Access (Online Data Base Through GPO Access)|each||2.00||
||||||govtprintingoffice||0. out of print GPO||specialty item|||The 96BUDGET file library contains 4 files.||multimedia|||Electronic Products, Fderal Bulletin Board (BBS), Federal Budgets||THE FEDERAL BULLETIN BOARD PRODUCT. Internet access: telnet or FTP to fedbbs.access.gpo.gov. Dial in access: 202-512-1387; Modem settings: 8 bits, Par|0.00||Executive Office of the President, Office of Management and Budget|||6/16/2000|021-610-00217-1|900||Fiscal Year 1996 Budget of the United States Government, 96BUDGET (Federal Bulletin Board)|each||2.00||
||||||govtprintingoffice||0. out of print GPO||specialty item|||The OMB CIRC file library contains selected OMB Circulars, as published in the Federal Register. Each circular will have a free summary file and a separate file containing the full text of the notice. Files available in ASCII format. For a related file, A||multimedia|||Electronic Products, Federal Bulletin Board (BBS), Office of Management and Budget, OMB Circulars||THE FEDERAL BULLETIN BOARD PRODUCT. Internet access: telnet or FTP to fedbbs.access.gpo.gov. Dial in access: 202-512-1387; Modem settings: 8 bits, Par|0.00||Executive Office of the President, Office of Management and Budget|||6/16/2000|021-610-00178-6|900||OMB_CIRC Selected OMB Circular Documents (Federal Bulletin Board File)|each||2.00||
||||||govtprintingoffice|Amato, Ivan|0. out of print GPO|06-24-98|casebound|cloth||Explores the origin, development, and accomplishments of the Naval Research Laboratory (NRL) over the last 75 years. Analyzes the personalities, institutional culture, and influences of the NRL.|||0-16-049579-2||Seventy Five Years of High Stakes Science and Technology at the Naval Research Laboratory, Military History, Naval Research Laboratory, Naval History, Laboratories, Science, Science Policy, Technology, Research and Development Contracts||NB1267|43.00||Defense Dept., Navy|discount||5/13/2004|008-046-00187-1|236RW 243EL|D 201.2:H 78/2|Pushing the Horizon: Seventy-Five Years of High Stakes Science and Technology at the Naval Research Laboratory|each||2.50|1998: 417 p.; ill.|
||||||govtprintingoffice||0. superseded|10-19-00|self cover / stitch|paper|021-303-00112-3|SB-303. Subject Bibliography 303. October 5, 2000. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 5|||||SB 303, Subject Bibliography 303||Supersedes GP 3.22/2:303/999, S/N 021-303-00908- 6.|0.00||Government Printing Office, Superintendent of Documents|||12/14/2001|021-303-00010-1|925|GP 3.22/2:303/2000|Energy|each||2.00|2000: 19 p.|
||||||govtprintingoffice||0. out of print GPO|12-01-99|paper cover / stitch|paper||Current Population Reports, Special Studies, P23-197.|||||Current Population Reports P23, No. 197, Childbirth, Premarital Sex, Single Parent Families|CPCSI||2.00||Commerce Dept., Economics and Statistics Administration, Census Bureau|discount||12/7/2005|803-005-10050-2|181PA|C 3.186:P-23/197|Trends in Premarital Childbearing, 1930 to 1994|each||0.18|1999: 10 p.; ill.|
||||||govtprintingoffice|Klingner, R. E.|0. out of print GPO|08-26-98|perfect binding|paper||NUREG/CR-5434. By R. E. Klingner, et al. H. L. Graves, 3d, NRC Project Manager. Prepared by the University of Texas at Austin, Austin, Texas. U|||0-16-062944-6||NUREG CR 5434, Earthquakes||NB1267|34.00||Nuclear Regulatory Commission, Office of Nuclear Regulatory Research, Division of Engineering Technology|discount||1/23/2003|052-021-01716-2|160AC 200GT|Y 3.N 88:25/5434|Anchor Bolt Behavior and Strength During Earthquakes|each||2.06|1998: 386 p.; ill.|
||||||govtprintingoffice|Corcuera, P.|0. out of print GPO|11-07-00|self cover / stitch|paper||NUREG/IA-0190. At head of title: International Agreement Report. Prepared by Applied Mathematics and Computer Science Department, University of Cantabria, Spain. Prepared as part of the Agreement on Research Participation and Technical Exchange under the|||0-16-061432-5||NUREG IA 0190, International Agreement Report, Graphical Post Processing of TRAC BF1 Results||NB1281|5.00||Nuclear Regulatory Commission, Office of Nuclear Regulatory Research|discount||1/29/2003|052-026-00164-1|200KO||Nowadays Tools for Graphical Post-Processing of TRAC-BF1 Results|each||0.25|2000: 30 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|01-08-98|casebound|cloth||United States of America Congressional Record, Proceedings and Debates of the 102d Congress, Second Session, V. 138, Pt. 18, September 17, 1992 to September 22, 1992.|||0-16-062546-7||||NB1264|32.00||Congress|discount|ZCRBD|01-08-98|052-000-00976-6|201GU|X 1.1:102/2-138/PT.18|Congressional Record, V. 138, Pt. 18, September 17, 1992 to September 22, 1992|each||7.50|1992: 1660 p. (25369-27024 p.)|
||||||govtprintingoffice||0. out of print GPO|12-07-99|perfect binding|paper||Gives the alphabetical directory of personnel for the State Department. Includes organizational directory for: State Department; Agency for International Development; Overseas Private Investment Corporation; Trade and Development Agency; and Broadcasting|||0-16-050228-4||Directories, Telephone Directories, State Department Telephone Directory||Supersedes S 1.21:998/1, S/N 044-000-02497-7. NB1275|22.00||State Dept.|discount||5/25/2000|044-000-02529-9|114JC 141DI|S 1.21:999|United States Department of State Telephone Directory, 1999, October|each||1.50|1999: 232 p.; ill.|
||||||govtprintingoffice|Quilter, Charles J., 2nd|1. in stock / whse and/or retail / price|11-06-01|perfect binding|paper||Traces a half century of active service by Marine Fighter Attack Squadron 531. Draws from primary sources in command diaries and chronologies and from interviews, base newspapers, published historical works, and valuable information from the files and hel|||0-16-050956-4||Marine Fighter Attack Squadron 531, Marine Corps History, Military History, History of Marine Fighter Attack Squadron 531||NB1284|5.50||Defense Dept., Marine Corps Headquarters, History and Museums Division|discount||08-17-07|008-055-00225-7|059OM 237BS||History of Marine Fighter Attack Squadron 531|each||0.81|2001: 108 p.; ill.|
||||||govtprintingoffice|Nalty, Bernard C.|0. out of print GPO|02-14-02|paper cover / stitch|paper||Marines in the Korean War Commemorative Series. Chronicles the part played by United States Marines during the Korean War from Bunker Hill to the Hook.|||0-16-066574-4||Marines in the Korean War Commemorative Series, Bunker Hill to the Hook, Marine Corps History, Naval History, Military History, Korean War||NB1288|3.00||Defense Dept., Navy, Marine Corps|discount||03-18-08|008-055-00226-5|054CP 237CT|D 214.13:K 84/6|Stalemate: United States Marines From Bunker Hill to the Hook|each||0.43|2001: 48 p.; ill.|
||||||govtprintingoffice||0. superseded|10-02-01|self cover / stitch|paper|021-100-00211-3|SB-100. Subject Bibliography 100. September 21, 2001. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Ite|||||||Supersedes GP 3.22/2:100/999, S/N 021-100-00009- 9. Superseded by GP 3.22/2:100/002, S/N 021-100- 00211-3.|0.00||Government Printing Office, Superintendent of Documents|||1/7/2003|021-100-00109-5|925||Federal Trade Commission|each||2.00|2001: 2 p.|
||||||govtprintingoffice||0. superseded|09-02-99|self cover / stitch|paper|021-100-00009-9|SB-100. Subject Bibliography 100. August 23, 1999. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 5|||||SB 100, Subject Bibliography 100||Supersedes GP 3.22/2:100/998, S/N 021-100-00806- 5. Superseded by GP 3.22/2:100/000, S/N 021-100- 00009-9. DSL 99-0364-P 09/16/99.|0.00||Government Printing Office, Superintendent of Documents|||9/27/2000|021-100-00908-8|925|GP 3.22/2:100/999|Federal Trade Commission|each||2.00|1999: 3 p.|
||||||govtprintingoffice||0. superseded|05-16-01|self cover / stitch|paper|021-040-00207-2|SB-040. Subject Bibliography 040. May 2, 2001. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 552-A|||||||Supersedes GP 3.22/2:040/2000, S/N 021-040-00005- 3. Superseded by GP 3.22/2:040/2002, S/N 021-040- 00207-2.|0.00||Government Printing Office, Superintendent of Documents|||8/6/2002|021-040-00105-0|925||Transportation|each||2.00||
||||||govtprintingoffice||0. superseded|07-27-00|self cover / stitch|paper|021-258-00106-3|SB-258. Subject Bibliography 258. July 14, 2000. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 552|||||||Supersedes GP 3.22/2:258/999, S/N 021-258-00906- 4. Superseded by GP 3.22/2:258/2001, S/N 021-258- 00106-2. DSL 2000-0345-P 08/30/2000.|0.00||Government Printing Office, Superintendent of Documents|||7/5/2001|021-258-00007-5|925|GP 3.22/2:258/2000|Grants and Awards|each||2.00|2000: 3 p.|
||||||govtprintingoffice|Anthony, W. S.|0. out of print GPO|01-31-95|perfect binding|paper||Agriculture Handbook 503. W. S. Anthony and William D. Mayfield, Managing Editors. Addresses the key ginning issues concerned with facilities, machinery, cleaning, ginning, drying, packaging, and waste collection and disposal. Also concerned with pollutio|||0-16-045369-0||Agriculture Handbook 503, Ginners Handbook, Cotton, Cotton Production, Fibers, Agricultural Production||NB1246|38.00||Agriculture Dept., Agricultural Research Service|discount||7/11/2005|001-000-04614-4|162EF|A 1.76:503/994|Cotton Ginners Handbook|each||2.43|1994: 337 p.; ill.|
||tax||||govtprintingoffice||Available at Claitors|02-03-99|casebound|cloth||Includes Revenue Rulings 97-27 to 97-57, Revenue Procedures 97-32 to 97-61, and Treasury Decisions 8722 to 8739. Consolidates all items of a permanent nature published in the weekly 'Internal Revenue Bulletin' from issue 1997-27 through 1997-52 for the pe|||0-16-062324-3||Cumulative Bulletin 1997 2, Income Tax, Taxation||NB1269|75.00||Treasury Dept., Internal Revenue Service|discount|ZIRSC|9/30/2003|048-004-02397-1|900|T 22.25:997-2|Internal Revenue Cumulative Bulletin 1997-2, July-December|each||4.12|1998: 676 p.|
||||||govtprintingoffice||0. out of print GPO|09-16-96|paper cover / stitch|paper||Internal Revenue Service Training 3149-114 (Rev. 07-95). TPDS 89466A. MSSP: Market Segment Specialization Program. Issued with perforations. Describes alternative approaches to computing income for a gasoline service station under audit. Also known as: IR|||0-16-061974-2||IRS Training 3149 114, TPDS 89466A, Market Segment Specialization Program, Tax Auditing, Service Stations, Audit Triggers||NB1256|7.00||Treasury Dept., Internal Revenue Service|discount||10/13/2000|048-004-02353-9|900||Gas Retailers|each||0.43|1996: 70 p.|
||||||govtprintingoffice|Lanning, D. D.|0. out of print GPO|02-06-98|perfect binding|paper||NUREG/CR-6534. V. 3. PNNL-11513. By D. D. Lanning, et al. H. Scott, NRC Project Manager. Prepared by Pacific Northwest National Laboratory, Richland, Washington, subcontractor: Gary A. Berna Consulting, Idaho Falls, Idaho.|||0-16-062884-9||NUREG CR 6534, PNNL 11513, FRAPCON 3, Computer Software||NB1264|21.00||Nuclear Regulatory Commission, Office of Nuclear Regulatory Research, Division of Systems Technology|discount||1/29/2003|052-021-01654-9|051GK 200JX|Y 3.N 88:25/6534|FRAPCON-3: Integral Assessment|each||1.25|1997: 228 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|08-15-01|perfect binding|paper||Cosponsored by Coastal America. Provides background information on coastal issues.|||0-16-066439-X||Coastal Zone Management||NB1286|12.00||National Safety Council, Environmental Health Center|discount||11/12/2003|052-003-01490-4|088AA||Coastal Challenges: A Guide to Coastal and Marine Issues|each||0.62|1998: 184 p.; ill. 2000-repr.|
